"","AFFILIATION","full_tags","tag.number","full.tag.number"
"1","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Ideologi",1,1
"2","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Kultur",1,2
"3","Det Kongelige Teater og Kapel (bestyrelse) 10842255","Film & Teater",1,3
"4","HJERTEFORENINGEN, Bestyrelse 10394228","Stat",1,1
"5","HJERTEFORENINGEN, Bestyrelse 10394228","Politik",1,2
"6","HJERTEFORENINGEN, Bestyrelse 10394228","Interesseorganisationer",1,3
"7","HJERTEFORENINGEN, Bestyrelse 10394228","Patientorganisationer",1,4
"8","HJERTEFORENINGEN, Bestyrelse 10394228","Stat",2,1
"9","HJERTEFORENINGEN, Bestyrelse 10394228","Sundhed",2,2
"10","Djøf (Bestyrelse) 17517112","Stat",1,1
"11","Djøf (Bestyrelse) 17517112","Politik",1,2
"12","Djøf (Bestyrelse) 17517112","Interesseorganisationer",1,3
"13","Djøf (Bestyrelse) 17517112","Fagbevægelse",1,4
"14","Københavns Universitet, Bestyrelse 29979812","Ideologi",1,1
"15","Københavns Universitet, Bestyrelse 29979812","Videnskab",1,2
"16","Københavns Universitet, Bestyrelse 29979812","Universiteter",1,3
"17","Københavns Universitet, Bestyrelse 29979812","Stat",2,1
"18","Københavns Universitet, Bestyrelse 29979812","Uddannelse",2,2
"19","Københavns Universitet, Bestyrelse 29979812","Videregående uddannelse",2,3
"20","Bruun & Hjejle Advokatpartnerselskab 37975192","Erhvervsliv",1,1
"21","Bruun & Hjejle Advokatpartnerselskab 37975192","Handel og service",1,2
"22","Bruun & Hjejle Advokatpartnerselskab 37975192","Konsulent & Revision",1,3
"23","Bruun & Hjejle Advokatpartnerselskab 37975192","Stat",2,1
"24","Bruun & Hjejle Advokatpartnerselskab 37975192","Jura",2,2
"25","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Ideologi",1,1
"26","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Kultur",1,2
"27","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Litteratur",1,3
"28","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Stat",2,1
"29","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Politik",2,2
"30","DANSK JOURNALISTFORBUND (Hovedbestyrelsen) 59783718","Interesseorganisationer",2,3
"31","DANSK ERHVERV (Bestyrelse) 43232010","Erhvervsliv",1,1
"32","DANSK ERHVERV (Bestyrelse) 43232010","Industri",1,2
"33","DANSK ERHVERV (Bestyrelse) 43232010","Stat",2,1
"34","DANSK ERHVERV (Bestyrelse) 43232010","Politik",2,2
"35","DANSK ERHVERV (Bestyrelse) 43232010","Interesseorganisationer",2,3
"36","DANSK ERHVERV (Bestyrelse) 43232010","Erhvervsorganisationer",2,4
"37","Nationalmuseet (direktion) 22139118","Ideologi",1,1
"38","Nationalmuseet (direktion) 22139118","Videnskab",1,2
"39","Nationalmuseet (direktion) 22139118","Humaniora",1,3
"40","Nationalmuseet (direktion) 22139118","Historie",1,4
"41","Nationalmuseet (direktion) 22139118","Stat",2,1
"42","Nationalmuseet (direktion) 22139118","Statsadministration",2,2
"43","Nationalmuseet (direktion) 22139118","Centraladministration",2,3
"44","Nationalmuseet (direktion) 22139118","Kulturområdet",2,4
"45","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",1,1
"46","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Politik",1,2
"47","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Interesseorganisationer",1,3
"48","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Arbejdsgiverorganisationer",1,4
"49","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",2,1
"50","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Politik",2,2
"51","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Interesseorganisationer",2,3
"52","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Fagbevægelse",2,4
"53","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Stat",3,1
"54","DANSK SYGEPLEJERÅD (Hovedbestyrelse) 54928815","Sundhed",3,2
"55","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",1,1
"56","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Politik",1,2
"57","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Interesseorganisationer",1,3
"58","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Civilsamfund",1,4
"59","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",2,1
"60","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Politik",2,2
"61","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Interesseorganisationer",2,3
"62","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Velgørenhed",2,4
"63","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Stat",3,1
"64","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Statsadministration",3,2
"65","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Centraladministration",3,3
"66","DANSK FLYGTNINGEHJÆLP (Bestyrelse) 20699310","Socialområdet",3,4
"67","Økonomistyrelsen 10213231","Ideologi",1,1
"68","Økonomistyrelsen 10213231","Videnskab",1,2
"69","Økonomistyrelsen 10213231","Samfundsvidenskab",1,3
"70","Økonomistyrelsen 10213231","Økonomi",1,4
"71","Økonomistyrelsen 10213231","Stat",2,1
"72","Økonomistyrelsen 10213231","Statsadministration",2,2
"73","Økonomistyrelsen 10213231","Centraladministration",2,3
"74","Økonomistyrelsen 10213231","Stat",3,1
"75","Økonomistyrelsen 10213231","Statsadministration",3,2
"76","Økonomistyrelsen 10213231","Centraladministration",3,3
"77","Økonomistyrelsen 10213231","Erhvervsområdet",3,4
"78","Digitaliseringsstyrelsen 34051178","Ideologi",1,1
"79","Digitaliseringsstyrelsen 34051178","Videnskab",1,2
"80","Digitaliseringsstyrelsen 34051178","Teknologi",1,3
"81","Digitaliseringsstyrelsen 34051178","Mødested",2,1
"82","Digitaliseringsstyrelsen 34051178","Statsadministration",2,2
"83","Digitaliseringsstyrelsen 34051178","Centraladministration",2,3
"84","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Ideologi",1,1
"85","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Videnskab",1,2
"86","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Naturvidenskab",1,3
"87","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Stat",2,1
"88","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Statsadministration",2,2
"89","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Infrastruktur",2,3
"90","De Nationale Geologiske Undersøgelser for Danmark og Grønland, Direktion 55145016","Energi",2,4
"91","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Stat",1,1
"92","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Uddannelse",1,2
"93","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Erhvervsskole",1,3
"94","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Stat",2,1
"95","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Uddannelse",2,2
"96","NIELS BROCK COPENHAGEN BUSINESS COLLEGE, Bestyrelse 60798419","Gymnasier",2,3
"97","Finanstilsynet (Bestyrelse) 10598184","Erhvervsliv",1,1
"98","Finanstilsynet (Bestyrelse) 10598184","Finans",1,2
"99","Finanstilsynet (Bestyrelse) 10598184","Stat",2,1
"100","Finanstilsynet (Bestyrelse) 10598184","Statsadministration",2,2
"101","Finanstilsynet (Bestyrelse) 10598184","Centraladministration",2,3
"102","Finanstilsynet (Bestyrelse) 10598184","Stat",3,1
"103","Finanstilsynet (Bestyrelse) 10598184","Statsadministration",3,2
"104","Finanstilsynet (Bestyrelse) 10598184","Centraladministration",3,3
"105","Finanstilsynet (Bestyrelse) 10598184","Erhvervsområdet",3,4
"106","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Stat",1,1
"107","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Politik",1,2
"108","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Interesseorganisationer",1,3
"109","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Fagbevægelse",1,4
"110","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Stat",2,1
"111","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Uddannelse",2,2
"112","DANMARKS LÆRERFORENING - DLF (Hovedstyrelse) 55602816","Folkeskole",2,3
"113","DI - Dansk Industri (forretningsudvalg) 16077593","Erhvervsliv",1,1
"114","DI - Dansk Industri (forretningsudvalg) 16077593","Industri",1,2
"115","DI - Dansk Industri (forretningsudvalg) 16077593","Mødested",2,1
"116","DI - Dansk Industri (forretningsudvalg) 16077593","Dansk Industri",2,2
"117","DI - Dansk Industri (forretningsudvalg) 16077593","Stat",3,1
"118","DI - Dansk Industri (forretningsudvalg) 16077593","Politik",3,2
"119","DI - Dansk Industri (forretningsudvalg) 16077593","Interesseorganisationer",3,3
"120","DI - Dansk Industri (forretningsudvalg) 16077593","Erhvervsorganisationer",3,4
"121","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Stat",1,1
"122","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Politik",1,2
"123","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Interesseorganisationer",1,3
"124","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Stat",2,1
"125","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Statsadministration",2,2
"126","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","Centraladministration",2,3
"127","BL - Danmarks Almene Boliger (Bestyrelse) 31447410","By & Bolig",2,4
"128","Rigsarkivet 60208212","Stat",1,1
"129","Rigsarkivet 60208212","Statsadministration",1,2
"130","Rigsarkivet 60208212","Centraladministration",1,3
"131","Rigsarkivet 60208212","Kulturområdet",1,4
"132","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Mødested",1,1
"133","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Ingeniører",1,2
"134","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Stat",2,1
"135","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Politik",2,2
"136","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Interesseorganisationer",2,3
"137","IDA Ingeniørforeningen i Danmark, Bestyrelse 21465216","Fagbevægelse",2,4
"138","Landbrugsstyrelsen 20814616","Erhvervsliv",1,1
"139","Landbrugsstyrelsen 20814616","Landbrug",1,2
"140","Landbrugsstyrelsen 20814616","Stat",2,1
"141","Landbrugsstyrelsen 20814616","Statsadministration",2,2
"142","Landbrugsstyrelsen 20814616","Centraladministration",2,3
"143","Fiskeristyrelsen 39097176","Erhvervsliv",1,1
"144","Fiskeristyrelsen 39097176","Landbrug",1,2
"145","Fiskeristyrelsen 39097176","Fiskeri",1,3
"146","Fiskeristyrelsen 39097176","Stat",2,1
"147","Fiskeristyrelsen 39097176","Statsadministration",2,2
"148","Fiskeristyrelsen 39097176","Centraladministration",2,3
"149","Fagligt Fælles Forbund 31378028","Erhvervsliv",1,1
"150","Fagligt Fælles Forbund 31378028","Handel og service",1,2
"151","Fagligt Fælles Forbund 31378028","Erhvervsliv",2,1
"152","Fagligt Fælles Forbund 31378028","Industri",2,2
"153","Fagligt Fælles Forbund 31378028","Mødested",3,1
"154","Fagligt Fælles Forbund 31378028","Dansk Industri",3,2
"155","Fagligt Fælles Forbund 31378028","Mødested",4,1
"156","Fagligt Fælles Forbund 31378028","Netværk",4,2
"157","Fagligt Fælles Forbund 31378028","Stat",5,1
"158","Fagligt Fælles Forbund 31378028","Politik",5,2
"159","Fagligt Fælles Forbund 31378028","Interesseorganisationer",5,3
"160","Fagligt Fælles Forbund 31378028","Fagbevægelse",5,4
"161","Akademikernes A-kasse (Bestyrelse) 18194686","Mødested",1,1
"162","Akademikernes A-kasse (Bestyrelse) 18194686","Akademikere",1,2
"163","Akademikernes A-kasse (Bestyrelse) 18194686","Stat",2,1
"164","Akademikernes A-kasse (Bestyrelse) 18194686","Politik",2,2
"165","Akademikernes A-kasse (Bestyrelse) 18194686","Interesseorganisationer",2,3
"166","Akademikernes A-kasse (Bestyrelse) 18194686","Fagbevægelse",2,4
"167","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Erhvervsliv",1,1
"168","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Landbrug",1,2
"169","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Ideologi",2,1
"170","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Videnskab",2,2
"171","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Samfundsvidenskab",2,3
"172","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Økonomi",2,4
"173","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Mødested",3,1
"174","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Dansk Industri",3,2
"175","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Mødested",4,1
"176","LANDBRUG & FØDEVARER F.M.B.A. 25529529","Netværk",4,2
"177","Slots- og Kulturstyrelsen (direktion) 34072191","Ideologi",1,1
"178","Slots- og Kulturstyrelsen (direktion) 34072191","Kultur",1,2
"179","Slots- og Kulturstyrelsen (direktion) 34072191","Stat",2,1
"180","Slots- og Kulturstyrelsen (direktion) 34072191","Statsadministration",2,2
"181","Slots- og Kulturstyrelsen (direktion) 34072191","Centraladministration",2,3
"182","AKTIESELSKABET ARBEJDERNES LANDSBANK 31467012","Erhvervsliv",1,1
"183","AKTIESELSKABET ARBEJDERNES LANDSBANK 31467012","Finans",1,2
"184","AKTIESELSKABET ARBEJDERNES LANDSBANK 31467012","Banker",1,3
"185","Red Barnet (Hovedbestyrelse) 63407216","Stat",1,1
"186","Red Barnet (Hovedbestyrelse) 63407216","Politik",1,2
"187","Red Barnet (Hovedbestyrelse) 63407216","Interesseorganisationer",1,3
"188","Red Barnet (Hovedbestyrelse) 63407216","Velgørenhed",1,4
"189","SOSU H S/I 33284101","Stat",1,1
"190","SOSU H S/I 33284101","Uddannelse",1,2
"191","SOSU H S/I 33284101","Erhvervsskole",1,3
"192","CARLSBERG SUPPLY COMPANY DANMARK A/S 36066296","Erhvervsliv",1,1
"193","CARLSBERG SUPPLY COMPANY DANMARK A/S 36066296","Industri",1,2
"194","CARLSBERG SUPPLY COMPANY DANMARK A/S 36066296","Byggeri",1,3
"195","CARLSBERG DANMARK A/S 25508386","Erhvervsliv",1,1
"196","CARLSBERG DANMARK A/S 25508386","Industri",1,2
"197","CARLSBERG DANMARK A/S 25508386","Byggeri",1,3
"198","CARLSBERG BREWERIES A/S 25508343","Erhvervsliv",1,1
"199","CARLSBERG BREWERIES A/S 25508343","Industri",1,2
"200","CARLSBERG BREWERIES A/S 25508343","Byggeri",1,3
"201","Hovedstadens Svømmeklub, Bestyrelse 12264712","Stat",1,1
"202","Hovedstadens Svømmeklub, Bestyrelse 12264712","Politik",1,2
"203","Hovedstadens Svømmeklub, Bestyrelse 12264712","Interesseorganisationer",1,3
"204","Hovedstadens Svømmeklub, Bestyrelse 12264712","Fritidsliv",1,4
"205","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Stat",1,1
"206","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Uddannelse",1,2
"207","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Erhvervsskole",1,3
"208","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Stat",2,1
"209","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Uddannelse",2,2
"210","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Folkeskole",2,3
"211","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Stat",3,1
"212","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Uddannelse",3,2
"213","TEC - Tecnical Education Copenhagen, Bestyrelse 20578912","Gymnasier",3,3
"214","DAB (Bestyrelse) 55775214","Stat",1,1
"215","DAB (Bestyrelse) 55775214","Politik",1,2
"216","DAB (Bestyrelse) 55775214","Interesseorganisationer",1,3
"217","DAB (Bestyrelse) 55775214","Stat",2,1
"218","DAB (Bestyrelse) 55775214","Statsadministration",2,2
"219","DAB (Bestyrelse) 55775214","Centraladministration",2,3
"220","DAB (Bestyrelse) 55775214","By & Bolig",2,4
"221","Copenhagen Business School, Bestyrelse 19596915","Ideologi",1,1
"222","Copenhagen Business School, Bestyrelse 19596915","Videnskab",1,2
"223","Copenhagen Business School, Bestyrelse 19596915","Universiteter",1,3
"224","Copenhagen Business School, Bestyrelse 19596915","Stat",2,1
"225","Copenhagen Business School, Bestyrelse 19596915","Uddannelse",2,2
"226","Copenhagen Business School, Bestyrelse 19596915","Videregående uddannelse",2,3
"227","SOS INTERNATIONAL A/S 17013718","Erhvervsliv",1,1
"228","SOS INTERNATIONAL A/S 17013718","Finans",1,2
"229","SOS INTERNATIONAL A/S 17013718","Forsikring",1,3
"230","KRÆFTENS BEKÆMPELSE 55629013","Stat",1,1
"231","KRÆFTENS BEKÆMPELSE 55629013","Politik",1,2
"232","KRÆFTENS BEKÆMPELSE 55629013","Interesseorganisationer",1,3
"233","KRÆFTENS BEKÆMPELSE 55629013","Patientorganisationer",1,4
"234","DANMARKS NATIONALBANK (Direktion) 61092919","Erhvervsliv",1,1
"235","DANMARKS NATIONALBANK (Direktion) 61092919","Finans",1,2
"236","DANMARKS NATIONALBANK (Direktion) 61092919","Banker",1,3
"237","DANMARKS NATIONALBANK (Direktion) 61092919","Mødested",2,1
"238","DANMARKS NATIONALBANK (Direktion) 61092919","Statsadministration",2,2
"239","DANMARKS NATIONALBANK (Direktion) 61092919","Centraladministration",2,3
"240","DANMARKS NATIONALBANK (Direktion) 61092919","Stat",3,1
"241","DANMARKS NATIONALBANK (Direktion) 61092919","Statsadministration",3,2
"242","DANMARKS NATIONALBANK (Direktion) 61092919","Centraladministration",3,3
"243","DANMARKS NATIONALBANK (Direktion) 61092919","Erhvervsområdet",3,4
"244","Uddannelses- og Forskningsstyrelsen 34042012","Mødested",1,1
"245","Uddannelses- og Forskningsstyrelsen 34042012","Statsadministration",1,2
"246","Uddannelses- og Forskningsstyrelsen 34042012","Centraladministration",1,3
"247","Uddannelses- og Forskningsstyrelsen 34042012","Stat",2,1
"248","Uddannelses- og Forskningsstyrelsen 34042012","Statsadministration",2,2
"249","Uddannelses- og Forskningsstyrelsen 34042012","Centraladministration",2,3
"250","Uddannelses- og Forskningsstyrelsen 34042012","Stat",3,1
"251","Uddannelses- og Forskningsstyrelsen 34042012","Uddannelse",3,2
"252","Bech-Bruun Advokatpartnerselskab 38538071","Erhvervsliv",1,1
"253","Bech-Bruun Advokatpartnerselskab 38538071","Handel og service",1,2
"254","Bech-Bruun Advokatpartnerselskab 38538071","Konsulent & Revision",1,3
"255","Bech-Bruun Advokatpartnerselskab 38538071","Stat",2,1
"256","Bech-Bruun Advokatpartnerselskab 38538071","Jura",2,2
"257","Erhvervsstyrelsen 10150817","Stat",1,1
"258","Erhvervsstyrelsen 10150817","Statsadministration",1,2
"259","Erhvervsstyrelsen 10150817","Centraladministration",1,3
"260","Erhvervsstyrelsen 10150817","Erhvervsområdet",1,4
"261","Arbejdstilsynet 21481815","Erhvervsliv",1,1
"262","Arbejdstilsynet 21481815","Stat",2,1
"263","Arbejdstilsynet 21481815","Statsadministration",2,2
"264","Arbejdstilsynet 21481815","Centraladministration",2,3
"265","Arbejdstilsynet 21481815","Beskæftigelse",2,4
"266","Arbejdstilsynet 21481815","Stat",3,1
"267","Arbejdstilsynet 21481815","Statsadministration",3,2
"268","Arbejdstilsynet 21481815","Centraladministration",3,3
"269","Arbejdstilsynet 21481815","Erhvervsområdet",3,4
"270","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Erhvervsliv",1,1
"271","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Ideologi",2,1
"272","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Videnskab",2,2
"273","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Samfundsvidenskab",2,3
"274","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Økonomi",2,4
"275","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Stat",3,1
"276","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Statsadministration",3,2
"277","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Centraladministration",3,3
"278","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Beskæftigelse",3,4
"279","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Stat",4,1
"280","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Statsadministration",4,2
"281","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Centraladministration",4,3
"282","Styrelsen for Arbejdsmarked og Rekruttering 55568510","Erhvervsområdet",4,4
"283","Danske Regioner (Bestyrelse+Direktion) 55832218","Stat",1,1
"284","Danske Regioner (Bestyrelse+Direktion) 55832218","Statsadministration",1,2
"285","Danske Regioner (Bestyrelse+Direktion) 55832218","Lokaladministration",1,3
"286","Danske Regioner (Bestyrelse+Direktion) 55832218","Regionalt",1,4
"287","Danske Regioner (Bestyrelse+Direktion) 55832218","Stat",2,1
"288","Danske Regioner (Bestyrelse+Direktion) 55832218","Sundhed",2,2
"289","Københavns Erhvervsakademi, Bestyrelse 31656206","Stat",1,1
"290","Københavns Erhvervsakademi, Bestyrelse 31656206","Uddannelse",1,2
"291","Københavns Erhvervsakademi, Bestyrelse 31656206","Videregående uddannelse",1,3
"292","SYSTRA DANMARK A/S 26048494","Erhvervsliv",1,1
"293","SYSTRA DANMARK A/S 26048494","Handel og service",1,2
"294","SYSTRA DANMARK A/S 26048494","Erhvervsliv",2,1
"295","SYSTRA DANMARK A/S 26048494","Industri",2,2
"296","Sundhedsdatastyrelsen 33257872","Ideologi",1,1
"297","Sundhedsdatastyrelsen 33257872","Videnskab",1,2
"298","Sundhedsdatastyrelsen 33257872","Teknologi",1,3
"299","Sundhedsdatastyrelsen 33257872","Stat",2,1
"300","Sundhedsdatastyrelsen 33257872","Sundhed",2,2
"301","HK Danmark, Hovedbestyrelse 31429528","Stat",1,1
"302","HK Danmark, Hovedbestyrelse 31429528","Politik",1,2
"303","HK Danmark, Hovedbestyrelse 31429528","Interesseorganisationer",1,3
"304","HK Danmark, Hovedbestyrelse 31429528","Fagbevægelse",1,4
"305","HK/Hovedstaden 53250017","Stat",1,1
"306","HK/Hovedstaden 53250017","Politik",1,2
"307","HK/Hovedstaden 53250017","Interesseorganisationer",1,3
"308","HK/Hovedstaden 53250017","Fagbevægelse",1,4
"309","IT-Universitetet, Bestyrelse 29057753","Ideologi",1,1
"310","IT-Universitetet, Bestyrelse 29057753","Videnskab",1,2
"311","IT-Universitetet, Bestyrelse 29057753","Naturvidenskab",1,3
"312","IT-Universitetet, Bestyrelse 29057753","Ideologi",2,1
"313","IT-Universitetet, Bestyrelse 29057753","Videnskab",2,2
"314","IT-Universitetet, Bestyrelse 29057753","Teknologi",2,3
"315","IT-Universitetet, Bestyrelse 29057753","Ideologi",3,1
"316","IT-Universitetet, Bestyrelse 29057753","Videnskab",3,2
"317","IT-Universitetet, Bestyrelse 29057753","Universiteter",3,3
"318","IT-Universitetet, Bestyrelse 29057753","Stat",4,1
"319","IT-Universitetet, Bestyrelse 29057753","Uddannelse",4,2
"320","IT-Universitetet, Bestyrelse 29057753","Videregående uddannelse",4,3
"321","Styrelsen for Patientsikkerhed 37105562","Stat",1,1
"322","Styrelsen for Patientsikkerhed 37105562","Statsadministration",1,2
"323","Styrelsen for Patientsikkerhed 37105562","Centraladministration",1,3
"324","Styrelsen for Patientsikkerhed 37105562","Socialområdet",1,4
"325","Styrelsen for Patientsikkerhed 37105562","Stat",2,1
"326","Styrelsen for Patientsikkerhed 37105562","Sundhed",2,2
"327","LEDERNES HOVEDORGANISATION 56995811","Stat",1,1
"328","LEDERNES HOVEDORGANISATION 56995811","Politik",1,2
"329","LEDERNES HOVEDORGANISATION 56995811","Interesseorganisationer",1,3
"330","LEDERNES HOVEDORGANISATION 56995811","Fagbevægelse",1,4
"331","Kommunernes Landsforening (Bestyrelse) 62547413","Stat",1,1
"332","Kommunernes Landsforening (Bestyrelse) 62547413","Statsadministration",1,2
"333","Kommunernes Landsforening (Bestyrelse) 62547413","Lokaladministration",1,3
"334","Kommunernes Landsforening (Bestyrelse) 62547413","Kommunalt",1,4
"335","Kommunernes Landsforening (Bestyrelse) 62547413","Stat",2,1
"336","Kommunernes Landsforening (Bestyrelse) 62547413","Statsadministration",2,2
"337","Kommunernes Landsforening (Bestyrelse) 62547413","Lokaladministration",2,3
"338","Kommunernes Landsforening (Bestyrelse) 62547413","Kommunalt",2,4
"339","Kommunernes Landsforening (Bestyrelse) 62547413","Stat",3,1
"340","Kommunernes Landsforening (Bestyrelse) 62547413","Statsadministration",3,2
"341","Kommunernes Landsforening (Bestyrelse) 62547413","Lokaladministration",3,3
"342","Kommunernes Landsforening (Bestyrelse) 62547413","Kommunalt",3,4
"343","Kommunernes Landsforening (Bestyrelse) 62547413","Stat",4,1
"344","Kommunernes Landsforening (Bestyrelse) 62547413","Statsadministration",4,2
"345","Kommunernes Landsforening (Bestyrelse) 62547413","Lokaladministration",4,3
"346","Kommunernes Landsforening (Bestyrelse) 62547413","Kommunalt",4,4
"347","Sundhedsstyrelsen 12070918","Stat",1,1
"348","Sundhedsstyrelsen 12070918","Sundhed",1,2
"349","Lægemiddelstyrelsen 37052485","Erhvervsliv",1,1
"350","Lægemiddelstyrelsen 37052485","Industri",1,2
"351","Lægemiddelstyrelsen 37052485","Medicinalindustri",1,3
"352","Lægemiddelstyrelsen 37052485","Stat",2,1
"353","Lægemiddelstyrelsen 37052485","Sundhed",2,2
"354","DR (bestyrelse) 62786515","Ideologi",1,1
"355","DR (bestyrelse) 62786515","Medier",1,2
"356","HOFOR, Bestyrelse 10073022","Erhvervsliv",1,1
"357","HOFOR, Bestyrelse 10073022","Industri",1,2
"358","HOFOR, Bestyrelse 10073022","Energi",1,3
"359","Domstolsstyrelsen (Bestyrelse) 21659509","Stat",1,1
"360","Domstolsstyrelsen (Bestyrelse) 21659509","Jura",1,2
"361","Domstolsstyrelsen (Bestyrelse) 21659509","Domstole",1,3
"362","Statens Serum Institut 46837428","Erhvervsliv",1,1
"363","Statens Serum Institut 46837428","Industri",1,2
"364","Statens Serum Institut 46837428","Medicinalindustri",1,3
"365","Statens Serum Institut 46837428","Ideologi",2,1
"366","Statens Serum Institut 46837428","Videnskab",2,2
"367","Statens Serum Institut 46837428","Naturvidenskab",2,3
"368","Statens Serum Institut 46837428","Stat",3,1
"369","Statens Serum Institut 46837428","Sundhed",3,2
"370","Københavns Kommunes borgerepræsentationen 64942212","Stat",1,1
"371","Københavns Kommunes borgerepræsentationen 64942212","Politik",1,2
"372","Københavns Kommunes borgerepræsentationen 64942212","Stat",2,1
"373","Københavns Kommunes borgerepræsentationen 64942212","Statsadministration",2,2
"374","Københavns Kommunes borgerepræsentationen 64942212","Lokaladministration",2,3
"375","Københavns Kommunes borgerepræsentationen 64942212","Kommunalt",2,4
"376","Ankestyrelsen 10074002","Stat",1,1
